data,ETPo (mm dia-1),Prec (mm dia-1),Temp (oC)
2008-03-14,2.8604131838600666,0.2,21.537500000000023
2008-03-15,2.7391604217916803,34.2,20.662500000000023
2008-03-16,2.8943638188214047,37.80000000000001,21.125
2008-03-17,2.5366164300060587,3.6000000000000005,21.32916666666665
2008-03-18,3.2482444361545912,1.2,23.5
2008-03-19,2.583189153826182,0.0,23.879166666666663
2008-03-20,2.9904722698795627,1.0,23.929166666666674
2008-03-21,3.216203119820525,1.5999999999999999,22.90833333333336
2008-03-22,2.8992408028373964,2.8,24.066666666666663
2008-03-23,2.6093028114576997,0.0,23.820833333333326
2008-03-24,2.471690557271738,6.8,23.32916666666665
2008-03-25,1.7248448720138059,11.0,22.220833333333303
2008-03-26,3.0258088353298356,3.2,22.120833333333337
2008-03-27,4.001873268726694,0.0,23.745833333333337
2008-03-28,3.3309441085411753,0.0,24.25
2008-03-29,2.0412483108039297,0.4,22.71666666666664
2008-03-30,1.5492257784488037,5.2,20.32916666666665
2008-03-31,2.674489767417247,0.2,20.466666666666697
2008-04-01,2.801048610873164,0.0,21.341666666666697
2008-04-02,3.268604483006184,2.6,22.71666666666664
2008-04-03,2.7651692008274247,0.4,22.629166666666663
2008-04-04,2.0053168828073273,0.2,20.98333333333335
2008-04-05,3.453182939616441,0.2,21.583333333333314
2008-04-06,1.5450157839521153,0.2,19.84583333333336
2008-04-07,3.313952755056369,0.2,22.59166666666664
2008-04-08,3.6587215747546415,0.0,23.5625
2008-04-09,3.2367885692469955,0.0,23.595833333333303
2008-04-10,3.4554157155366134,0.0,24.991666666666674
2008-04-11,3.1204357708475574,2.6,24.76666666666665
2008-04-12,1.2535449870677744,2.0,22.47083333333336
2008-04-13,2.4450480055014037,0.0,22.370833333333337
2008-04-14,1.0733732826729925,19.000000000000004,20.462499999999977
2008-04-15,1.3908302699256698,0.6000000000000001,16.787500000000023
2008-04-16,1.1805887297367863,3.6,17.89166666666665
2008-04-17,1.6835158195858122,10.799999999999999,20.587499999999977
2008-04-18,2.801173565102279,0.0,21.475000000000023
2008-04-19,1.5208078834007042,0.4,20.23750000000001
2008-04-20,1.2034495502168518,10.0,20.283333333333303
2008-04-21,2.399017696860652,17.0,20.870833333333337
2008-04-22,2.9092900349413595,1.8,21.23750000000001
2008-04-23,3.089140091551575,0.0,21.087499999999977
2008-04-24,2.732842149007638,0.0,21.225000000000023
2008-04-25,3.0409427612505997,0.2,21.841666666666697
2008-04-26,2.720675730695598,0.0,21.220833333333303
2008-04-27,2.6461644071154375,0.0,21.69999999999999
2008-04-28,2.644874074340816,0.0,22.54583333333335
2008-04-29,0.6824128337686464,70.80000000000001,20.962499999999977
2008-04-30,1.126326427718013,7.200000000000002,16.833333333333314
2008-05-01,1.4815231455823272,0.0,15.847826086956502
2008-05-02,0.8998381850223661,60.20000000000001,17.191666666666663
2008-05-03,2.600766495297976,0.2,19.26249999999999
2008-05-04,3.252769882988402,0.0,20.695833333333326
2008-05-05,3.045118148811995,0.0,20.46666666666664
2008-05-06,3.3367361162580416,0.0,18.254166666666663
2008-05-07,2.3121791177862994,0.0,16.350000000000023
2008-05-08,2.2025665880476994,0.0,17.883333333333326
2008-05-09,0.8644882920275524,0.2,16.879166666666663
2008-05-10,1.435424799670339,0.0,16.524999999999977
2008-05-11,1.2083274352062794,3.4000000000000004,15.983333333333348
2008-05-12,1.7952798392638085,3.8000000000000007,17.683333333333337
2008-05-13,1.7798040697638413,0.0,17.14166666666665
2008-05-14,1.4212336156032637,0.8,17.3125
2008-05-15,2.2110532656026622,0.2,17.808333333333337
2008-05-16,2.108234430375455,0.2,17.904166666666697
2008-05-17,1.870694958477974,0.0,17.48333333333335
2008-05-18,2.030787374927166,0.0,19.39166666666665
