   Data;Vazão
01/12/2013;17053.96
02/12/2013;16873.11
03/12/2013;16243.92
04/12/2013;15443.78
05/12/2013;14959.79
06/12/2013;14828.45
07/12/2013;14653.79
08/12/2013;16288.66
09/12/2013;17508.17
10/12/2013;17235.29
11/12/2013;16737.78
12/12/2013;16020.65
13/12/2013;16065.24
14/12/2013;16423.08
15/12/2013;18379.26
16/12/2013;22109.66
17/12/2013;23471.81
18/12/2013;23471.81
19/12/2013;23668.04
20/12/2013;25402.13
21/12/2013;26963.04
22/12/2013;27726.53
23/12/2013;28033.4
24/12/2013;28341.11
25/12/2013;28392.47
26/12/2013;28084.63
27/12/2013;28033.4
28/12/2013;27166.12
29/12/2013;26356.08
30/12/2013;25252.31
31/12/2013;24209.75
01/01/2014;23618.94
02/01/2014;22983.01
03/01/2014;23129.38
04/01/2014;26204.88
05/01/2014;28289.77
06/01/2014;29424.6
07/01/2014;30048.23
08/01/2014;30413.51
09/01/2014;30413.51
10/01/2014;30727.48
11/01/2014;30989.72
12/01/2014;31042.24
13/01/2014;31305.15
14/01/2014;31568.61
15/01/2014;31779.77
16/01/2014;31515.87
17/01/2014;31042.24
18/01/2014;31042.24
19/01/2014;31515.87
20/01/2014;31832.62
21/01/2014;32044.21
22/01/2014;32203.14
23/01/2014;32362.26
24/01/2014;32097.17
25/01/2014;31885.48
26/01/2014;32150.14
27/01/2014;32574.72
28/01/2014;33160.77
29/01/2014;34610.13
30/01/2014;35259.2
31/01/2014;35639.2
01/02/2014;36183.81
02/02/2014;36620.96
03/02/2014;37334.11
04/02/2014;37995.41
05/02/2014;38770.55
06/02/2014;40052.37
07/02/2014;41119.01
08/02/2014;42135.89
09/02/2014;43044.92
10/02/2014;44130.62
11/02/2014;45453.8
12/02/2014;46437.99
13/02/2014;47252.42
14/02/2014;47953.28
15/02/2014;48832.94
16/02/2014;49421.58
17/02/2014;49834.67
18/02/2014;50189.42
19/02/2014;50722.71
20/02/2014;51079.02
21/02/2014;51435.94
22/02/2014;52211.39
23/02/2014;52630.12
24/02/2014;52869.77
25/02/2014;52929.73
26/02/2014;53049.68
27/02/2014;53169.71
28/02/2014;53349.88
01/03/2014;53590.34
02/03/2014;53710.66
03/03/2014;53590.34
04/03/2014;53770.86
05/03/2014;53831.06
06/03/2014;53891.29
07/03/2014;53891.29
08/03/2014;54132.34
09/03/2014;54313.31
10/03/2014;54494.43
11/03/2014;54615.26
12/03/2014;54736.16
13/03/2014;55038.68
14/03/2014;55220.4
15/03/2014;55402.27
16/03/2014;55523.59
17/03/2014;55827.19
18/03/2014;56252.92
19/03/2014;57229.02
20/03/2014;57473.7
21/03/2014;58270.67
22/03/2014;58454.97
23/03/2014;59008.75
24/03/2014;58762.47
25/03/2014;58393.52
26/03/2014;58147.88
27/03/2014;57718.63
28/03/2014;57412.5
29/03/2014;56984.61
30/03/2014;56496.55
31/03/2014;55827.19
01/04/2014;55584.28
02/04/2014;55402.27
03/04/2014;55644.98
04/04/2014;55887.96
05/04/2014;55523.59
06/04/2014;54978.14
07/04/2014;54313.31
08/04/2014;53650.49
09/04/2014;53470.07
10/04/2014;52330.94
11/04/2014;50900.79
12/04/2014;49598.52
13/04/2014;48539.28
14/04/2014;47427.39
15/04/2014;46321.93
16/04/2014;44647.23
17/04/2014;44474.86
18/04/2014;45165.32
19/04/2014;44934.88
20/04/2014;44245.29
21/04/2014;42931.03
22/04/2014;41796.24
23/04/2014;41006.41
24/04/2014;40388.45
25/04/2014;39940.5
26/04/2014;40500.63
27/04/2014;40556.75
28/04/2014;40781.43
29/04/2014;41006.41
30/04/2014;40950.13
01/05/2014;40276.35
02/05/2014;39884.59
03/05/2014;39549.56
04/05/2014;39270.9
05/05/2014;39940.5
06/05/2014;40837.64
07/05/2014;40500.63
08/05/2014;39661.16
09/05/2014;38437.87
10/05/2014;37829.81
11/05/2014;38050.65
12/05/2014;38327.14
13/05/2014;38216.48
14/05/2014;38050.65
15/05/2014;37004.54
16/05/2014;36183.81
17/05/2014;35421.94
18/05/2014;34934.29
19/05/2014;34718.11
20/05/2014;34232.9
21/05/2014;35096.66
22/05/2014;35639.2
23/05/2014;35911.25
24/05/2014;35747.96
25/05/2014;34934.29
26/05/2014;35205
27/05/2014;35042.52
28/05/2014;34502.25
29/05/2014;33910.37
30/05/2014;33267.6
31/05/2014;32256.16
01/06/2014;31199.92
02/06/2014;30518.08
03/06/2014;29787.99
04/06/2014;28907.39
05/06/2014;28341.11
06/06/2014;27726.53
07/06/2014;27726.53
08/06/2014;27931.02
09/06/2014;27777.62
10/06/2014;27318.68
11/06/2014;27013.78
12/06/2014;26760.34
13/06/2014;27931.02
14/06/2014;30465.78
15/06/2014;31410.47
16/06/2014;31568.61
17/06/2014;31621.37
18/06/2014;30989.72
19/06/2014;29944.07
20/06/2014;28907.39
21/06/2014;27777.62
22/06/2014;26709.73
23/06/2014;25852.92
24/06/2014;24704.85
25/06/2014;24209.75
26/06/2014;23520.83
27/06/2014;22934.27
28/06/2014;22254.63
29/06/2014;21772.3
30/06/2014;21628.12
01/07/2014;22448.3
02/07/2014;24456.99
03/07/2014;24853.86
04/07/2014;24259.15
05/07/2014;23373.84
06/07/2014;22448.3
07/07/2014;21628.12
08/07/2014;20958.41
09/07/2014;20578.08
10/07/2014;21724.22
11/07/2014;23178.22
12/07/2014;23227.09
13/07/2014;22642.38
14/07/2014;21820.42
15/07/2014;21006.07
16/07/2014;20293.97
17/07/2014;19588.02
18/07/2014;18981.25
19/07/2014;18287.07
20/07/2014;17553.76
21/07/2014;16827.97
22/07/2014;16243.92
23/07/2014;15798.16
24/07/2014;15487.96
25/07/2014;15443.78
26/07/2014;15223.31
27/07/2014;15003.63
28/07/2014;14610.21
29/07/2014;14219.4
30/07/2014;14392.77
31/07/2014;14479.65
01/08/2014;14089.72
02/08/2014;13573.96
03/08/2014;12978.34
04/08/2014;12515.05
05/08/2014;12097.53
06/08/2014;11601.19
07/08/2014;11150.8
08/08/2014;11069.38
09/08/2014;10664.56
10/08/2014;10223.61
11/08/2014;9985.06
12/08/2014;9826.8
13/08/2014;9826.8
14/08/2014;10463.56
15/08/2014;10947.54
16/08/2014;10907
17/08/2014;10423.47
18/08/2014;9866.31
19/08/2014;9629.87
20/08/2014;9708.53
21/08/2014;9629.87
22/08/2014;9355.84
23/08/2014;8967.8
24/08/2014;8622.09
25/08/2014;8317.64
26/08/2014;8128.75
27/08/2014;7940.95
28/08/2014;7717.03
29/08/2014;7457.81
30/08/2014;7200.82
31/08/2014;6982.33
01/09/2014;6801.54
02/09/2014;6621.93
03/09/2014;6514.75
04/09/2014;6372.51
05/09/2014;6266.34
06/09/2014;6125.48
07/09/2014;6055.35
08/09/2014;5950.53
09/09/2014;5846.16
10/09/2014;5638.82
11/09/2014;5570.12
12/09/2014;5467.46
13/09/2014;5365.28
14/09/2014;5196.06
15/09/2014;5028.18
16/09/2014;4928.12
17/09/2014;5263.58
18/09/2014;5880.9
19/09/2014;5985.42
20/09/2014;5846.16
21/09/2014;5811.48
22/09/2014;5985.42
23/09/2014;6160.62
24/09/2014;6090.39
25/09/2014;5880.9
26/09/2014;5742.26
27/09/2014;5915.69
28/09/2014;6693.63
29/09/2014;7164.29
30/09/2014;7200.82
01/10/2014;7237.39
02/10/2014;7384.16
03/10/2014;7531.65
04/10/2014;7420.96
05/10/2014;7127.8
06/10/2014;6837.6
07/10/2014;6514.75
08/10/2014;6231.05
09/10/2014;6055.35
10/10/2014;5880.9
11/10/2014;5776.84
12/10/2014;5707.73
13/10/2014;5673.25
14/10/2014;5742.26
15/10/2014;5950.53
16/10/2014;6020.36
17/10/2014;5915.69
18/10/2014;5880.9
19/10/2014;5985.42
20/10/2014;6020.36
21/10/2014;5880.9
22/10/2014;5638.82
23/10/2014;5365.28
24/10/2014;5061.65
25/10/2014;4861.69
26/10/2014;4663.75
27/10/2014;4500.38
28/10/2014;4500.38
29/10/2014;4630.96
30/10/2014;4663.75
31/10/2014;4565.55
01/11/2014;4565.55
02/11/2014;4696.6
03/11/2014;4828.56
04/11/2014;5028.18
05/11/2014;5535.85
06/11/2014;6160.62
07/11/2014;6407.99
08/11/2014;6372.51
09/11/2014;6195.81
10/11/2014;6125.48
11/11/2014;6090.39
12/11/2014;6195.81
13/11/2014;6407.99
14/11/2014;6693.63
15/11/2014;6982.33
16/11/2014;7237.39
17/11/2014;7717.03
18/11/2014;8317.64
19/11/2014;9787.34
20/11/2014;11069.38
21/11/2014;11601.19
22/11/2014;11314.07
23/11/2014;10745.22
24/11/2014;11110.07
25/11/2014;11314.07
26/11/2014;11273.19
27/11/2014;10947.54
28/11/2014;10907
29/11/2014;11110.07
30/11/2014;11766.06
01/12/2014;12767.23
02/12/2014;13573.96
03/12/2014;14392.77
04/12/2014;14959.79
05/12/2014;15620.72
06/12/2014;16109.87
07/12/2014;16692.73
08/12/2014;17326.13
09/12/2014;17144.57
10/12/2014;16378.24
11/12/2014;15620.72
12/12/2014;14959.79
13/12/2014;14610.21
14/12/2014;14392.77
15/12/2014;14262.7
16/12/2014;14132.92
17/12/2014;13831.25
18/12/2014;13403.11
19/12/2014;13702.45
20/12/2014;14003.43
21/12/2014;14176.14
22/12/2014;15091.4
23/12/2014;16512.84
24/12/2014;17736.39
25/12/2014;18149.01
26/12/2014;18517.75
27/12/2014;19541.18
28/12/2014;20910.78
29/12/2014;21484.17
30/12/2014;21484.17
31/12/2014;21340.46
01/01/2015;22496.78
02/01/2015;23717.16
03/01/2015;24407.49
04/01/2015;24704.85
05/01/2015;25102.71
06/01/2015;25953.36
07/01/2015;26709.73
08/01/2015;27931.02
09/01/2015;27982.2
10/01/2015;27420.5
11/01/2015;26356.08
12/01/2015;25953.36
13/01/2015;26003.61
14/01/2015;25752.57
15/01/2015;25702.44
16/01/2015;26507.5
17/01/2015;27879.86
18/01/2015;29165.71
19/01/2015;30100.35
20/01/2015;30779.88
21/01/2015;31252.52
22/01/2015;31621.37
23/01/2015;31991.28
24/01/2015;32309.2
25/01/2015;32840.78
26/01/2015;33160.77
27/01/2015;33321.04
28/01/2015;33267.6
29/01/2015;33160.77
30/01/2015;33160.77
31/01/2015;33267.6
01/02/2015;33395.91
02/02/2015;33524.34
03/02/2015;33636.82
04/02/2015;33797.66
05/02/2015;33969.44
06/02/2015;34044.66
07/02/2015;33786.93
08/02/2015;33203.49
09/02/2015;32479.07
10/02/2015;32049.5
11/02/2015;32553.46
12/02/2015;33182.12
13/02/2015;33144.75
14/02/2015;33080.7
15/02/2015;33256.91
16/02/2015;33299.66
17/02/2015;33379.86
18/02/2015;33497.57
19/02/2015;33717.22
20/02/2015;33990.93
21/02/2015;34254.43
22/02/2015;34642.52
23/02/2015;35118.32
24/02/2015;35660.95
25/02/2015;35982.07
26/02/2015;36391.3
27/02/2015;36779.75
28/02/2015;37037.46
01/03/2015;37301.12
02/03/2015;37576.25
03/03/2015;37835.33
04/03/2015;38155.66
05/03/2015;38648.49
06/03/2015;39165.14
07/03/2015;39059.45
08/03/2015;38892.71
09/03/2015;38770.55
10/03/2015;38881.6
11/03/2015;38937.16
12/03/2015;39048.32
13/03/2015;38887.16
14/03/2015;38759.45
15/03/2015;38354.81
16/03/2015;38803.86
17/03/2015;38133.54
18/03/2015;37691.96
